UOM_ID,UOM_NAME,UOM_ISO,UOM_DIMENSION,UOM_SAP,UOM_NUMERATOR,UOM_DENOMINATOR,UOM_ROUNDING,UOM_BASE
140,Joule/Kilogram ( J/kg ),J2,23,JKG,1,1,0,true
141,Kilojoule/kilogram ( KJ/kg ),B42,24,KJK,1000,1,0,false
142,Centimeter/second ( cm/s ),2M,25,2M,1,100,0,false
143,Kilometer/hour ( km/h ),KMH,26,KMH,277778,1000000,0,false
144,Meter/Minute ( m/min ),2X,27,2X,1666667,100000000,0,false
145,Meter/second ( m/s ),MTS,28,M/S,1,1,0,true
146,Millimeter/second ( mm/s ),C16,29,MMS,1,1000,0,false
147,Millinewton/meter ( mN/m ),C22,30,MNM,1,1000,0,false
148,Newton/meter ( N/m ),4P,31,NM,1,1,0,true
149,Degrees Celsius ( °C ),CEL,32,GC,27415,100,0,false
150,Fahrenheit ( °F ),FAH,33,FA,2559278,10000,0,false
151,Kelvin ( K ),KEL,34,K,1,1,0,true
152,Days ( Days ),DAY,35,TAG,86400,1,0,false
153,Hour ( h ),HUR,36,H,3600,1,0,false
154,Microsecond ( µs ),B98,37,MIS,1,1000000,0,false
155,Millisecond ( ms ),C26,38,MS,1,1000,0,false
156,Minute ( min ),MIN,39,MIN,60,1,0,false
157,Months ( Months ),MON,1,MON,2629700,1,0,false
158,Nanosecond ( ns ),C47,2,NS,1,1000000000,0,false
159,Second ( s ),SEC,3,S,1,1,0,true
160,Weeks ( Weeks ),WEE,4,WCH,604800,1,0,false
161,Years ( yr ),ANN,5,JHR,31556950,1,0,false
162,Centiliter ( Cl ),CLT,6,CTL,1,100,0,false
163,Cubic centimeter ( cm3 ),CMQ,7,CCM,1,1000,0,false
164,Cubic decimeter ( dm3 ),DMQ,8,CDM,1,1,0,false
165,Cubic foot ( ft3 ),FTQ,9,FT3,28316846,1000000000,0,false
166,Cubic inch ( Inch3 ),INQ,10,IN3,16387,1000000000,0,false
167,Cubic meter ( m3 ),MTQ,11,M3,1,1,0,true
168,Cubic millimeter ( mm3 ),MMQ,12,MMQ,1,1000000000,0,false
169,Cubic yard ( yd3 ),YDQ,13,YD3,764554857,1000000000,0,false
170,Fluid Ounce US ( foz US ),OZA,14,OZA,29573,1000000000,0,false
171,Hectoliter ( hl ),HLT,15,HL,1,10,0,false
172,Liter ( l ),LTR,16,L,1,1000,0,false
173,Microliter ( µl ),4G,17,4G,1,1000000000,0,false
174,Milliliter ( ml ),MLT,18,ML,1,1000000,0,false
175,Pint US liquid ( pt US ),PT,19,PT,55061,100000000,0,false
176,Quart US liquid ( qt US ),QTL,20,QT,110122,100000000,0,false
177,US gallon ( gal US ),GLL,21,GLL,440488,100000000,0,false
178,Cubic centimeter/second ( cm3/s ),2J,22,C3S,1,1000000,0,false
179,Cubic meter/Hour ( m3/h ),MQH,23,MQH,277778,1000000000,0,false
180,Cubic meter/day ( m3/d ),G52,24,M3D,6666672,1000000000,0,false
181,Cubic meter/second ( m3/s ),MQS,25,M3S,1,1,0,true
182,Liter per hour ( L/hr ),E32,26,LPH,2778,10000000000,0,false
183,Liter/Minute ( l/min ),L2,27,L2,1667,100000000,0,false
